Comuna;Region;Nombre Comun;Nombre Cientifico;Clase;Origen;Periodo de Floracion;
Chiloe;Los Lagos;Coigue de Chiloe;Nothofagus dombeyi;Arbol;Nativa;Primavera (Nov-Dic);
Chiloe;Los Lagos;Tineo;Weinmannia trichosperma;Arbol;Nativa;Primavera tardia (Nov-Dic);
Chiloe;Los Lagos;Matico;Buddleja globosa;Arbusto;Nativa;Verano (Dic-Feb);
Chiloe;Los Lagos;Chaura;Gaultheria mucronata;Arbusto;Nativa;Primavera - Verano (Nov-Mar);
Chiloe;Los Lagos;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Chiloe;Los Lagos;Luma;Amomyrtus luma;Arbol;Nativa;Primavera (Oct-Nov);
Chiloe;Los Lagos;Trebol Blanco;Trifolium repens;Hierba;Introducida;Primavera - Verano (Nov-Mar);
Chiloe;Los Lagos;Cardo Negro;Cirsium vulgare;Hierba;Introducida;Verano (Dic-Feb);
Chiloe;Los Lagos;Crepis;Crepis capillaris;Hierba;Introducida;Primavera - Oto�o;
Chiloe;Los Lagos;Diente de Leon;Taraxacum officinale;Hierba;Introducida;Primavera (Sep-Nov);
Futrono;Los Rios;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Futrono;Los Rios;Luma;Amomyrtus luma;Arbol;Nativa;Primavera (Oct-Nov);
Futrono;Los Rios;Tineo;Weinmannia trichosperma;Arbol;Nativa;Primavera tardia (Nov-Dic);
Futrono;Los Rios;Siete Camisas;Escallonia rubra;Arbusto;Nativa;Verano (Dic-Feb);
Futrono;Los Rios;Arrayan;Luma apiculata;Arbol;Nativa;Verano (Ene-Feb);
Futrono;Los Rios;Tiaca;Caldcluvia paniculata;Arbol;Nativa;Verano (Ene-Feb);
Futrono;Los Rios;Zarzamora;Rubus ulmifolius;Arbusto;Introducida;Verano (Dic-Feb);
Futrono;Los Rios;Ulmo;Eucryphia cordifolia;Arbol;Nativa;Verano tardio (Feb-Mar);
Futrono;Los Rios;Murta;Ugni molinae;Arbusto;Nativa;Primavera tardia - Verano;
Futrono;Los Rios;Chilco;Fuchsia magellanica;Arbusto;Nativa;Verano - Oto�o (Ene-Abr);
Hornopiren;Los Lagos;Coigue de Chiloe;Nothofagus dombeyi;Arbol;Nativa;Primavera (Nov-Dic);
Hornopiren;Los Lagos;Tineo;Weinmannia trichosperma;Arbol;Nativa;Primavera tardia (Nov-Dic);
Hornopiren;Los Lagos;Matico;Buddleja globosa;Arbusto;Nativa;Verano (Dic-Feb);
Hornopiren;Los Lagos;Chaura;Gaultheria mucronata;Arbusto;Nativa;Primavera - Verano (Nov-Mar);
Hornopiren;Los Lagos;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Hornopiren;Los Lagos;Luma;Amomyrtus luma;Arbol;Nativa;Primavera (Oct-Nov);
Hornopiren;Los Lagos;Trebol Blanco;Trifolium repens;Hierba;Introducida;Primavera - Verano (Nov-Mar);
Hornopiren;Los Lagos;Cardo Negro;Cirsium vulgare;Hierba;Introducida;Verano (Dic-Feb);
Hornopiren;Los Lagos;Crepis;Crepis capillaris;Hierba;Introducida;Primavera - Oto�o;
Hornopiren;Los Lagos;Diente de Leon;Taraxacum officinale;Hierba;Introducida;Primavera (Sep-Nov);
Lonquimay;La Araucania;Michay;Berberis darwinii;Arbusto;Nativa;Primavera (Sep-Oct);
Lonquimay;La Araucania;Notro;Embothrium coccineum;Arbol/Arbusto;Nativa;Primavera tardia y Verano tardio;
Lonquimay;La Araucania;Avellano Chileno;Gevuina avellana;Arbol;Nativa;Verano (Ene-Feb);
Lonquimay;La Araucania;Maiten;Maytenus boaria;Arbol;Nativa;Primavera (Oct-Nov);
Lonquimay;La Araucania;Diente de Leon;Taraxacum officinale;Hierba;Introducida;Primavera (Sep-Nov);
Lonquimay;La Araucania;Trebol Blanco;Trifolium repens;Hierba;Introducida;Primavera - Verano (Nov-Mar);
Melipeuco;La Araucania;Michay;Berberis darwinii;Arbusto;Nativa;Primavera (Sep-Oct);
Melipeuco;La Araucania;Notro;Embothrium coccineum;Arbol/Arbusto;Nativa;Primavera tardia y Verano tardio;
Melipeuco;La Araucania;Avellano Chileno;Gevuina avellana;Arbol;Nativa;Verano (Ene-Feb);
Melipeuco;La Araucania;Maiten;Maytenus boaria;Arbol;Nativa;Primavera (Oct-Nov);
Melipeuco;La Araucania;Diente de Leon;Taraxacum officinale;Hierba;Introducida;Primavera (Sep-Nov);
Melipeuco;La Araucania;Trebol Blanco;Trifolium repens;Hierba;Introducida;Primavera - Verano (Nov-Mar);
Panguipulli;Los Rios;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Panguipulli;Los Rios;Luma;Amomyrtus luma;Arbol;Nativa;Primavera (Oct-Nov);
Panguipulli;Los Rios;Tineo;Weinmannia trichosperma;Arbol;Nativa;Primavera tardia (Nov-Dic);
Panguipulli;Los Rios;Siete Camisas;Escallonia rubra;Arbusto;Nativa;Verano (Dic-Feb);
Panguipulli;Los Rios;Tiaca;Caldcluvia paniculata;Arbol;Nativa;Verano (Ene-Feb);
Panguipulli;Los Rios;Zarzamora;Rubus ulmifolius;Arbusto;Introducida;Verano (Dic-Feb);
Panguipulli;Los Rios;Ulmo;Eucryphia cordifolia;Arbol;Nativa;Verano tardio (Feb-Mar);
Panguipulli;Los Rios;Murta;Ugni molinae;Arbusto;Nativa;Primavera tardia - Verano;
Panguipulli;Los Rios;Chilco;Fuchsia magellanica;Arbusto;Nativa;Verano - Oto�o(Ene-Abr);
Concepcion;Biobio;Eucalipto;Eucalyptus globulus;Arbol;Introducida;Verano (Ene-Mar);
Concepcion;Biobio;Quillay;Quillaja saponaria;Arbol;Nativa;Primavera (Oct-Dic);
Concepcion;Biobio;Corcolen;Azara microphylla;Arbusto;Nativa;Primavera (Sep-Nov);
Concepcion;Biobio;Radal;Lomatia hirsuta;Arbol;Nativa;Primavera (Sep-Nov);
Concepcion;Biobio;Maqui;Aristotelia chilensis;Arbol/Arbusto;Nativa;Primavera (Oct-Nov);
Concepcion;Biobio;Olivillo;Aextoxicon punctatum;Arbol;Nativa;Primavera (Sep-Oct);
Concepcion;Biobio;Retamo;Teline monspessulana;Arbusto;Introducida;Primavera-Verano;
Concepcion;Biobio;Avellanita;Avellanita bustillosii;Arbusto;Nativa;Primavera (Sep-Nov);
Concepcion;Biobio;Espino;Acacia caven;Arbol;Nativa;Primavera (Ago-Oct);
Concepcion;Biobio;Boldo;Peumus boldus;Arbol;Nativa;Invierno (Jul-Sep);
San Pedro de la Paz;Biobio;Arrayan;Luma apiculata;Arbol;Nativa;Verano (Ene-Feb);
San Pedro de la Paz;Biobio;Ulmo;Eucryphia cordifolia;Arbol;Nativa;Verano (Feb-Mar);
San Pedro de la Paz;Biobio;Notro;Embothrium coccineum;Arbol/Arbusto;Nativa;Primavera-Verano;
San Pedro de la Paz;Biobio;Canelo;Drimys winteri;Arbol;Nativa;Primavera (Oct-Dic);
